team,player,position,champion,number_of_wins,number_of_losses,player_win_loss_ratio,avg_champion_winrate,player_kda_ratio,avg_kda_ratio
INF,Ackerman,Support,Nami,0,1,0.00,0.00,2.50,1.17
RED,Jojo,Support,Amumu,0,1,0.00,0.13,1.50,1.46
INF,Ackerman,Support,Braum,0,1,0.00,0.33,0.33,5.00
UOL,Santas,Support,Amumu,0,1,0.00,0.13,0.83,1.46
INF,Ackerman,Support,Rakan,0,1,0.00,0.63,6.00,4.63
PCE,Aladoric,Support,Leona,1,0,1.00,0.92,5.00,4.58
GS,Zergsting,Support,Rakan,1,0,1.00,0.63,8.00,4.63
C9,Vulcan,Support,Amumu,0,1,0.00,0.13,1.67,1.46
DFM,Gaeng,Support,Alistar,0,1,0.00,0.00,0.50,0.50
C9,Vulcan,Support,Leona,3,0,1.00,0.92,4.33,4.58
HLE,Morgan,Top,Camille,1,0,1.00,0.75,2.75,3.58
GS,Crazy,Top,Jayce,0,2,0.00,0.33,0.86,1.81
C9,Fudge,Top,Gangplank,0,1,0.00,0.00,2.00,1.23
BYG,Pk,Top,Jarvan,0,1,0.00,0.33,0.50,1.92
INF,Buggax,Top,Graves,0,1,0.00,0.25,3.00,2.57
HLE,Morgan,Top,Renekton,1,0,1.00,0.50,2.50,0.83
UOL,Boss,Top,Jayce,0,2,0.00,0.33,1.50,1.81
C9,Fudge,Top,Jarvan,1,0,1.00,0.33,8.00,1.92
BYG,Liang,Top,Aatrox,0,1,0.00,0.50,0.50,3.00
INF,Buggax,Top,Gnar,0,1,0.00,0.33,3.50,2.60
PCE,Vizicsacsi,Top,Jayce,1,0,1.00,0.33,2.00,1.81
GS,Crazy,Top,Kennen,1,0,1.00,0.50,4.67,3.20
PCE,Vizicsacsi,Top,Kennen,1,0,1.00,0.50,16.00,3.20
RED,Guigo,Top,Gangplank,0,1,0.00,0.00,0.83,1.23
C9,Fudge,Top,Irelia,1,0,1.00,0.40,2.50,1.75
DFM,Evi,Top,Gnar,1,1,0.50,0.33,2.00,2.60
GS,Crazy,Top,Gwen,1,0,1.00,1.00,12.00,12.00
UOL,Boss,Top,Camille,1,1,0.50,0.75,2.63,3.58
LNG,Ale,Top,Jax,1,0,1.00,0.50,14.00,4.00
HLE,Morgan,Top,Irelia,0,1,0.00,0.40,0.00,1.75
UOL,Boss,Top,Wukong,0,1,0.00,0.33,2.00,3.14
LNG,Ale,Top,Wukong,1,0,1.00,0.33,9.00,3.14
INF,Buggax,Top,Jayce,0,1,0.00,0.33,0.20,1.81
RED,Guigo,Top,Kennen,0,1,0.00,0.50,0.20,3.20
LNG,Ale,Top,Jayce,1,0,1.00,0.33,4.50,1.81
DFM,Evi,Top,Urgot,2,0,1.00,1.00,25.00,25.00
BYG,Liang,Top,Lillia,0,1,0.00,0.60,2.25,3.71
C9,Fudge,Top,Malphite,1,0,1.00,1.00,9.00,9.00
DFM,Evi,Top,Sett,1,0,1.00,1.00,3.25,4.00
C9,Fudge,Top,Jayce,0,1,0.00,0.33,3.33,1.81
RED,Guigo,Top,Camille,1,0,1.00,0.75,11.00,3.58
INF,Buggax,Top,Kennen,0,1,0.00,0.50,1.00,3.20
PCE,Vizicsacsi,Top,Renekton,0,1,0.00,0.50,0.00,0.83
PCE,Vizicsacsi,Top,Gangplank,0,1,0.00,0.00,1.00,1.23
LNG,Ale,Top,Fiora,1,0,1.00,1.00,10.00,10.00
BYG,Liang,Top,"Tahm Kench",1,0,1.00,1.00,11.00,11.00
BYG,Liang,Top,Jayce,1,0,1.00,0.33,9.00,1.81
RED,Guigo,Top,Jax,0,1,0.00,0.50,1.20,4.00
HLE,Morgan,Top,Aatrox,1,0,1.00,0.50,10.00,3.00
